CVE-2000-0759,2022-04-30T18:14:15Z,"Jakarta Apache Tomcat Reveals Physical Paths",org.apache.tomcat:tomcat,0,,MODERATE,CWE-200
CVE-2000-1210,2022-04-30T18:15:08Z,"Apache Tomcat Directory Traversal",org.apache.tomcat:tomcat,0,,MODERATE,CWE-22
CVE-2001-0590,2022-04-30T18:16:22Z,"Apache Tomcat Allows Source Disclosure","org.apache.tomcat:tomcat-servlet-api",0,3.2.2,MODERATE,CWE-200
CVE-2001-0829,2022-04-30T18:16:47Z,"Apache Tomcat allows webmasters to insert xss into error messages",org.apache.tomcat:tomcat,0,,MODERATE,CWE-80
CVE-2003-0042,2022-04-29T01:25:43Z,"Jakarta Tomcat Directory Listing vulnerability",org.apache.tomcat:tomcat,0,3.3.1a,MODERATE,CWE-22
CVE-2003-0044,2022-04-29T01:25:44Z,"Jakarta Tomcat cross-site scripting (XSS) vulnerability",org.apache.tomcat:tomcat,3.0,3.3.2,MODERATE,CWE-79
CVE-2003-0045,2022-04-29T01:25:43Z,"Jakarta Tomcat Denial of Service vulnerability",org.apache.tomcat:tomcat,0,3.3.1a,MODERATE,CWE-400
CVE-2003-0866,2022-04-29T01:27:08Z,"Apache Tomcat Denial of Service vulnerability in the Catalina package",org.apache.tomcat:tomcat,4.0,4.1.0,MODERATE,CWE-400
CVE-2004-2381,2022-04-29T03:01:19Z,"Jetty HTTP Server Denial of Service vulnerability",org.mortbay.jetty:jetty,0,4.2.19,MODERATE,CWE-400
CVE-2004-2650,2022-04-29T03:01:51Z,"Apache James Denial of Service","org.apache.james:james-server",0,2.2.0,MODERATE,CWE-400
CVE-2005-2090,2022-05-01T02:04:54Z,"Tomcat Vulnerable to Web Cache Poisoning",org.apache.tomcat:tomcat,4.0.0,,MODERATE,
CVE-2005-2090,2022-05-01T02:04:54Z,"Tomcat Vulnerable to Web Cache Poisoning",org.apache.tomcat:tomcat,5.0.0,,MODERATE,
CVE-2005-3164,2022-05-01T02:15:08Z,"Apache Tomcat AJP Connector Information Leak",org.apache.tomcat:tomcat,4.0.1,,LOW,CWE-200
CVE-2005-3164,2022-05-01T02:15:08Z,"Apache Tomcat AJP Connector Information Leak",org.apache.tomcat:tomcat,4.1.0,,LOW,CWE-200
CVE-2005-3745,2022-05-01T02:20:38Z,"Apache Struts Cross-site scripting Vulnerability","org.apache.struts:struts-core",0,,MODERATE,CWE-80
CVE-2005-3747,2022-05-01T02:20:38Z,"Mortbay Jetty Discloses JSP Source Code",org.mortbay.jetty:jetty,0,5.1.6,MODERATE,CWE-200
CVE-2005-4703,2022-05-01T02:29:50Z,"Apache Tomcat Discloses MS-DOS Pathname",org.apache.tomcat:tomcat,0,,MODERATE,CWE-200
CVE-2005-4836,2022-05-01T02:31:23Z,"Apache Tomcat allows remote attackers to read JSP source files",org.apache.tomcat:tomcat,4.1.15,,HIGH,CWE-200
